Offense,Offense Conference,Defense,Defense Conference,Game Id,Id,Drive Number,Scoring,Start Period,Start Yardline,Start Yards To Goal,Start Time Minutes,Start Time Seconds,End Period,End Yardline,End Yards To Goal,End Time Minutes,End Time Seconds,Elapsed Minutes,Elapsed Seconds,Plays,Yards,Drive Result,Is Home Offense,Start Offense Score,Start Defense Score,End Offense Score,End Defense Score
Cincinnati,Big 12,Towson,CAA,401628591,4016285911,1,TRUE,1,25,75,15,0,1,100,0,11,17,3,43,7,75,TD,TRUE,0,0,7,0
Cincinnati,Big 12,Towson,CAA,401628591,4016285914,4,TRUE,1,35,65,7,58,1,100,0,6,50,1,8,4,65,TD,TRUE,7,3,14,3
Cincinnati,Big 12,Towson,CAA,401628591,4016285916,6,TRUE,1,25,75,4,36,1,100,0,3,13,1,23,3,75,TD,TRUE,14,3,21,3
Cincinnati,Big 12,Towson,CAA,401628591,4016285918,8,FALSE,2,3,97,14,16,2,42,58,10,53,3,23,6,39,PUNT,TRUE,21,3,21,3
Cincinnati,Big 12,Towson,CAA,401628591,40162859110,10,TRUE,2,37,63,9,49,2,100,0,6,56,2,53,5,63,TD,TRUE,21,10,28,10
Cincinnati,Big 12,Towson,CAA,401628591,40162859112,12,FALSE,2,34,66,5,47,2,87,13,1,46,4,1,10,53,MISSED FG,TRUE,28,10,28,10
Cincinnati,Big 12,Towson,CAA,401628591,40162859114,14,FALSE,2,30,70,0,19,2,70,30,0,0,0,19,4,40,END OF HALF,TRUE,28,17,28,17
Cincinnati,Big 12,Towson,CAA,401628591,40162859116,16,TRUE,3,36,64,10,2,3,100,0,9,52,0,10,1,64,TD,TRUE,28,20,35,20
Cincinnati,Big 12,Towson,CAA,401628591,40162859118,18,TRUE,3,19,81,8,19,3,82,18,4,38,3,41,11,63,FG,TRUE,35,20,38,20
Cincinnati,Big 12,Towson,CAA,401628591,40162859120,20,FALSE,3,20,80,2,4,4,88,12,14,48,2,16,5,68,FUMBLE,TRUE,38,20,38,20
Cincinnati,Big 12,Towson,CAA,401628591,40162859123,23,FALSE,4,13,87,9,20,4,22,78,7,15,2,5,3,9,PUNT,TRUE,38,20,38,20
Cincinnati,Big 12,Towson,CAA,401628591,40162859125,25,FALSE,4,32,68,2,37,4,91,9,0,0,2,37,6,59,END OF GAME,TRUE,38,20,38,20
Cincinnati,Big 12,Pittsburgh,ACC,401635538,4016355381,1,FALSE,1,25,75,15,0,1,50,50,10,58,4,2,7,25,PUNT,TRUE,0,0,0,0
Cincinnati,Big 12,Pittsburgh,ACC,401635538,4016355383,3,TRUE,1,20,80,9,7,1,100,0,7,47,1,20,4,80,TD,TRUE,0,0,7,0
Cincinnati,Big 12,Pittsburgh,ACC,401635538,4016355385,5,TRUE,1,25,75,3,52,1,100,0,1,11,2,41,6,75,TD,TRUE,7,3,14,3
Cincinnati,Big 12,Pittsburgh,ACC,401635538,4016355387,7,TRUE,1,38,62,0,25,2,69,31,8,11,7,14,14,31,FG,TRUE,14,3,17,3
Cincinnati,Big 12,Pittsburgh,ACC,401635538,4016355389,9,FALSE,2,44,56,6,21,2,93,7,0,23,5,58,14,49,MISSED FG,TRUE,17,3,17,3
Cincinnati,Big 12,Pittsburgh,ACC,401635538,40163553812,12,TRUE,3,42,58,12,38,3,100,0,7,25,5,13,10,58,TD,TRUE,17,6,24,6
Cincinnati,Big 12,Pittsburgh,ACC,401635538,40163553814,14,TRUE,3,60,40,6,49,3,91,9,4,50,1,59,6,31,FG,TRUE,24,6,27,6
Cincinnati,Big 12,Pittsburgh,ACC,401635538,40163553816,16,FALSE,3,22,78,0,40,4,48,52,14,4,1,36,5,26,PUNT,TRUE,27,13,27,13
Cincinnati,Big 12,Pittsburgh,ACC,401635538,40163553818,18,FALSE,4,25,75,10,41,4,32,68,7,44,2,57,4,7,PUNT,TRUE,27,19,27,19
Cincinnati,Big 12,Pittsburgh,ACC,401635538,40163553820,20,FALSE,4,25,75,5,40,4,52,48,2,38,3,2,5,27,PUNT,TRUE,27,25,27,25
Cincinnati,Big 12,Pittsburgh,ACC,401635538,40163553822,22,FALSE,4,25,75,0,17,4,35,65,0,0,0,17,3,10,FUMBLE,TRUE,27,28,27,28
Cincinnati,Big 12,Miami (OH),Mid-American,401636865,4016368652,2,FALSE,1,80,80,11,36,1,54,54,8,44,2,52,7,26,PUNT,FALSE,0,0,0,0
Cincinnati,Big 12,Miami (OH),Mid-American,401636865,4016368654,4,TRUE,1,63,63,6,25,1,0,0,3,27,2,58,8,26,FG,FALSE,0,0,3,0
Cincinnati,Big 12,Miami (OH),Mid-American,401636865,4016368656,6,FALSE,2,75,75,14,13,2,63,63,12,10,2,3,4,12,PUNT,FALSE,3,3,3,3
Cincinnati,Big 12,Miami (OH),Mid-American,401636865,4016368658,8,TRUE,2,3,3,10,37,2,0,0,10,37,0,0,1,3,TD,FALSE,10,3,10,3
Cincinnati,Big 12,Miami (OH),Mid-American,401636865,40163686510,10,FALSE,2,95,95,6,18,2,0,0,0,18,6,0,16,95,FUMBLE,FALSE,10,3,10,3
Cincinnati,Big 12,Miami (OH),Mid-American,401636865,40163686512,12,FALSE,3,0,0,15,0,3,0,0,7,38,7,22,12,75,TD,FALSE,10,3,10,3
Cincinnati,Big 12,Miami (OH),Mid-American,401636865,40163686514,14,FALSE,3,0,0,5,32,3,0,0,2,28,3,4,8,35,PUNT,FALSE,17,10,17,10
Cincinnati,Big 12,Miami (OH),Mid-American,401636865,40163686516,16,FALSE,3,59,59,1,30,4,0,0,14,54,1,36,3,-2,PUNT,FALSE,17,10,17,10
Cincinnati,Big 12,Miami (OH),Mid-American,401636865,40163686520,19,FALSE,4,80,80,7,52,4,80,80,5,20,2,32,3,0,PUNT,FALSE,24,16,24,16
Cincinnati,Big 12,Miami (OH),Mid-American,401636865,40163686522,21,TRUE,4,88,88,3,43,4,0,0,0,59,2,44,7,56,FG,FALSE,24,16,27,16
Cincinnati,Big 12,Houston,Big 12,401636873,4016368731,1,FALSE,1,26,74,14,54,1,33,67,13,19,1,35,3,7,PUNT,TRUE,0,0,0,0
Cincinnati,Big 12,Houston,Big 12,401636873,4016368733,3,TRUE,1,55,45,12,5,1,100,0,10,46,1,19,3,45,TD,TRUE,0,0,7,0
Cincinnati,Big 12,Houston,Big 12,401636873,4016368735,5,TRUE,1,20,80,5,14,1,100,0,2,57,2,17,4,80,TD,TRUE,7,0,14,0
Cincinnati,Big 12,Houston,Big 12,401636873,4016368737,7,TRUE,2,20,80,13,38,2,100,0,6,27,7,11,12,80,TD,TRUE,14,0,21,0
Cincinnati,Big 12,Houston,Big 12,401636873,4016368739,9,TRUE,2,47,53,4,23,2,72,28,1,51,2,32,6,25,FG,TRUE,21,0,24,0
Cincinnati,Big 12,Houston,Big 12,401636873,40163687311,11,FALSE,2,6,94,0,14,2,6,94,0,0,0,14,1,0,END OF HALF,TRUE,24,0,24,0
Cincinnati,Big 12,Houston,Big 12,401636873,40163687313,13,TRUE,3,11,89,13,9,3,100,0,9,9,4,0,8,89,TD,TRUE,24,0,31,0
Cincinnati,Big 12,Houston,Big 12,401636873,40163687315,15,FALSE,3,45,55,3,4,3,42,58,1,18,1,46,3,-3,PUNT,TRUE,31,0,31,0
Cincinnati,Big 12,Houston,Big 12,401636873,40163687317,17,TRUE,4,32,68,13,38,4,84,16,3,47,9,51,15,52,FG,TRUE,31,0,34,0
Cincinnati,Big 12,Houston,Big 12,401636873,40163687319,19,FALSE,4,43,57,2,43,4,54,46,0,0,2,43,4,11,END OF GAME,TRUE,34,0,34,0
Texas Tech,Big 12,Abilene Christian,UAC,401636613,4016366132,2,TRUE,1,29,71,14,6,1,100,0,10,38,3,28,10,71,TD,TRUE,0,0,7,0
Texas Tech,Big 12,Abilene Christian,UAC,401636613,4016366134,4,TRUE,1,83,17,8,42,1,100,0,8,18,0,24,2,17,TD,TRUE,7,0,15,0
Texas Tech,Big 12,Abilene Christian,UAC,401636613,4016366136,6,TRUE,1,25,75,3,42,1,100,0,1,34,2,8,6,75,TD,TRUE,15,7,22,7
Texas Tech,Big 12,Abilene Christian,UAC,401636613,4016366138,8,TRUE,2,74,26,11,36,2,79,21,9,58,1,38,4,5,FG,TRUE,22,13,25,14
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661310,10,TRUE,2,30,70,6,46,2,100,0,2,55,3,51,9,70,TD,TRUE,25,14,32,14
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661312,12,FALSE,2,25,75,1,50,2,38,62,0,32,1,18,4,13,PUNT,TRUE,32,21,32,21
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661314,14,FALSE,3,29,71,14,54,3,96,4,9,37,5,17,13,67,DOWNS,TRUE,32,21,32,21
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661316,16,TRUE,3,65,35,4,57,3,100,0,4,50,0,7,1,35,TD,TRUE,32,28,39,28
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661318,18,FALSE,3,42,58,0,11,4,62,38,13,19,1,52,5,20,DOWNS,TRUE,39,28,39,28
